"Name","State","Population","LibraryTechLink","Website"
"A directory of libraries throughout the world","Ohio","62158","https://librarytechnology.org/library/3921","https://www.wcdpl.org/"
"A directory of libraries throughout the world","North Carolina","89328","https://librarytechnology.org/library/29002","https://fontanalib.org/"
"A directory of libraries throughout the world","Texas","2145146","https://librarytechnology.org/library/2933","https://houstonlibrary.org/home"
"A directory of libraries throughout the world","Ohio","180783","https://librarytechnology.org/library/1623","https://midpointelibrary.org/"
"A directory of libraries throughout the world","Iowa","83470","https://librarytechnology.org/library/1036","https://www.icpl.org/"
"A directory of libraries throughout the world","South Carolina","284307","https://librarytechnology.org/library/4173","https://www.spartanburglibraries.org/"
"A directory of libraries throughout the world","Georgia","60187","https://librarytechnology.org/library/8223","https://www.desototrail.org/"
"A directory of libraries throughout the world","New Jersey","446303","https://librarytechnology.org/library/2991","https://monmouthcountylib.org/"
"A directory of libraries throughout the world","Indiana","89652","https://librarytechnology.org/library/17920","https://www.mphpl.org/"
"A directory of libraries throughout the world","North Carolina","351790","https://librarytechnology.org/library/5508","https://www.forsyth.cc/library/"
"A directory of libraries throughout the world","Kentucky","107456","https://librarytechnology.org/library/7542","http://www.hcpl.info/"
"A directory of libraries throughout the world","Alaska","100343","https://librarytechnology.org/library/3358","https://fnsblibrary.org/"
"A directory of libraries throughout the world","Connecticut","60868","https://librarytechnology.org/library/15852","https://www.meridenlibrary.org/"
"A directory of libraries throughout the world","Indiana","137974","https://librarytechnology.org/library/158","https://mcpl.info/"
"A directory of libraries throughout the world","Georgia","96268","https://librarytechnology.org/library/8224","https://www.docolib.org/"
"A directory of libraries throughout the world","Ohio","64000","https://librarytechnology.org/library/41949","https://www.worthingtonlibraries.org/"
"A directory of libraries throughout the world","Connecticut","110366","https://librarytechnology.org/library/10519","http://www.bronsonlibrary.org/"
"A directory of libraries throughout the world","Nebraska","64176","https://librarytechnology.org/library/1981","https://www.bellevuelibrary.org/"
"A directory of libraries throughout the world","North Carolina","61651","https://librarytechnology.org/library/20909","https://www.franklincountync.us/services/library"
"A directory of libraries throughout the world","Georgia","282945","https://librarytechnology.org/library/8248","https://frrls.net/"
"A directory of libraries throughout the world","Kentucky","160406","https://librarytechnology.org/library/1570","https://www.kentonlibrary.org/"
"A directory of libraries throughout the world","Massachusetts","100695","https://librarytechnology.org/library/6499","https://www.newbedford-ma.gov/library/"
"A directory of libraries throughout the world","North Carolina","206086","https://librarytechnology.org/library/12645","http://gastonlibrary.org"
"A directory of libraries throughout the world","Indiana","64549","https://librarytechnology.org/library/1642","https://www.munciepubliclibrary.org/"
"A directory of libraries throughout the world","Ohio","63650","https://librarytechnology.org/library/13955","https://www.elyria.lib.oh.us/"
"A directory of libraries throughout the world","Tennessee","156681","https://librarytechnology.org/library/2287","https://www.wcpltn.org/"
"A directory of libraries throughout the world","Georgia","197609","https://librarytechnology.org/library/4541","https://www.forsythpl.org/"
"A directory of libraries throughout the world","Indiana","74578","https://librarytechnology.org/library/1652","https://floydlibrary.org/"
"A directory of libraries throughout the world","Wisconsin","80131","https://librarytechnology.org/library/2837","https://www.oshkoshpubliclibrary.org/"
"A directory of libraries throughout the world","Massachusetts","85146","https://librarytechnology.org/library/3005","https://newtonfreelibrary.net/"
"A directory of libraries throughout the world","North Carolina","60863","https://librarytechnology.org/library/10792","https://granville.lib.nc.us/"
"A directory of libraries throughout the world","Illinois","70389","https://librarytechnology.org/library/13129","https://www.northsuburbanlibrary.org/templates/system/nsld.aspx?department=home|subkey=0"
"A directory of libraries throughout the world","Tennessee","73266","https://librarytechnology.org/library/6107","https://www.youseemore.com/lebanon-wilson/"
"A directory of libraries throughout the world","Connecticut","64083","https://librarytechnology.org/library/3945","https://www.westhartfordlibrary.org/"
"A directory of libraries throughout the world","North Carolina","395174","https://librarytechnology.org/library/1525","https://library.greensboro-nc.gov/"
"A directory of libraries throughout the world","Kentucky","323152","https://librarytechnology.org/library/1146","https://www.lexpublib.org/"
"A directory of libraries throughout the world","Indiana","140680","https://librarytechnology.org/library/696","https://www.hepl.lib.in.us/"
"A directory of libraries throughout the world","Georgia","857586","https://librarytechnology.org/library/5350","https://www.gwinnettpl.org/"
"A directory of libraries throughout the world","North Carolina","118615","https://librarytechnology.org/library/5517","https://harnett.libguides.com/hcpl"
"A directory of libraries throughout the world","Kentucky","765352","https://librarytechnology.org/library/4364","https://www.lfpl.org/"
"A directory of libraries throughout the world","Georgia","210629","https://librarytechnology.org/library/3240","https://www.hallcountylibrary.org/"
"A directory of libraries throughout the world","South Carolina","107457","https://librarytechnology.org/library/6288","https://www.sumtercountylibrary.org/"
"A directory of libraries throughout the world","Texas","229132","https://librarytechnology.org/library/1558","https://www.cityofirving.org/1054/Library"
"A directory of libraries throughout the world","Ohio","97138","https://librarytechnology.org/library/22803","https://www.fcdlibrary.org/"
"A directory of libraries throughout the world","New Jersey","175162","https://librarytechnology.org/library/1383","https://www.atlanticlibrary.org/"
"A directory of libraries throughout the world","Alabama","102040","https://librarytechnology.org/library/8648","http://www.baldwincountylibrary.org/"
"A directory of libraries throughout the world","Wyoming","98136","https://librarytechnology.org/library/11010","https://lclsonline.org/"
"A directory of libraries throughout the world","Georgia","222226","https://librarytechnology.org/library/8258","https://henrylibraries.org/"
"A directory of libraries throughout the world","Georgia","115000","https://librarytechnology.org/library/26030","https://henrylibraries.org/"
"A directory of libraries throughout the world","North Carolina","108448","https://librarytechnology.org/library/1527","https://www.hendersoncountync.gov/library"
"A directory of libraries throughout the world","Georgia","115000","https://librarytechnology.org/library/26032","https://henrylibraries.org/"
"A directory of libraries throughout the world","Georgia","115000","https://librarytechnology.org/library/26031","https://henrylibraries.org/"
"A directory of libraries throughout the world","Alabama","212113","https://librarytechnology.org/library/23","http://www.bham.lib.al.us/"
